t_s,pn_m,pe_m,pd_m,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,roll_rad,pitch_rad,yaw_rad,alt_m,airspeed_mps,alpha_rad,beta_rad,aileron_rad,elevator_rad,rudder_rad,throttle_01,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
0.320000,-362494442187840108522162713513249772669398536117205082594324803388561292555956163375486813770617726215127040.000000,-330672484629851198188083341278850975747737678621612313718038880360411408208654964408043761385460280846188544.000000,-330148210155041623633010401911843077636574620131506113306234100003014416540919358338045430532037759295553536.000000,7887237692586461630278123090567964094419739234022483782164193794163425238249897984.000000,618615215159446470186176561086854243907213482556797710152849190920483432959049728.000000,36087262539295953927492608070203049588913648688841799350303369788169605494113042432.000000,3701972087468403001189962372816104202180955269316165053284365723234538620389949440.000000,82449944463541772927171357346215515613838659307858106630323021290834884852315062272.000000,-869624230868029429093825034127364729683097601476138370718555239013776733438476288.000000,-2.963149,0.473527,1.629934,330148210155041623633010401911843077636574620131506113306234100003014416540919358338045430532037759295553536.000000,36944305661141561033894348597304831829989730059517764770735780095270355643593129984.000000,-1.355620,0.016745,-0.350000,-0.350000,0.350000,0.000000,36529861271922419100105583526267667641587942209444940732023761372576363001736758996431440496477601100321547374952863671494638358307544246399989357329368602134970368.000000,394345622990703666016240682583481704045801963216857729149660656163185843231334327770893969979063065418067534460599149879780859636387777232203019125707053719355392.000000,179167056905907619310476329235134913192901252407259750568642629633769523994313484159823559316907334782243852039464236165657750530163919493038380296402056860286320640.000000,-2412014591673078333707727972148695854969234371708383423484563384898421604878160326803309560014144130971538213422111582572815328467701339829960906345484514649702400.000000,-3349142301766647576883065375497439233704689680219693325939677696983999917814304328520346763170783459386177067092020935001095953193267583688780629246170154944954368.000000,1015888582154270006205757676705625386514027641432797282863177325701097206354671439411338757004380239772419881732038861074865917326018974316483826968285949877813248.000000
0.330000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,-0.350000,0.350000,0.000000,nan,nan,nan,nan,nan,nan
0.340000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.350000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.360000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.370000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.380000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.390000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.400000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.410000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.420000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.430000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.440000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.450000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.460000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.470000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.480000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.490000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.510000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.520000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.530000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.540000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.550000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.560000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.570000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.580000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.590000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.600000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.610000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.620000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.630000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.640000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.650000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.660000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.670000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.680000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.690000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.700000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.710000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.720000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.730000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.740000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.750000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.760000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.770000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
